일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계,month,조식메뉴_Main,중식메뉴_Main,석식메뉴_Main
2016-07-28,목,2643,340,204,197,0.0,모닝롤/에그샌드 우유/주스 계란후라이 새우살죽/쌀밥  감자국 숙주나물 포기김치  ,쌀밥/잡곡밥  꽃게탕 훈제오리냉채 동그랑땡전 콩자반 배추겉절이  ,카레라이스  맑은국 순대야채볶음 연두부*양념 핫도그/음료 포기김치  ,816.0,434.0,7,숙주나물,훈제오리냉채,양념
2016-07-29,금,2643,486,207,36,0.0,모닝롤/카스텔라 우유/주스 스크램블 쇠고기죽/쌀밥  북어국 애호박나물 포기김치  ,연복풍덮밥  도토리묵냉국 꽁치오븐구이 마늘쫑무침 양배추피클 포기김치  ,쌀밥/잡곡밥  아욱국 등뼈묵은지찜 해물파전 쑥갓두부무침 포기김치  ,671.0,472.0,7,스크램블,양배추피클,등뼈묵은지찜
2016-08-01,월,2644,512,109,238,0.0,모닝롤/프렌치토스트 우유/주스 계란후라이 보리누룽지탕/쌀밥  근대국 사각어묵볶음 포기김치  ,쌀밥/잡곡밥  부대찌개*라면사리 갈치구이 닭살겨자냉채 꽈리고추찜 포기김치  ,쌀밥/잡곡밥  콩나물국 소불고기 날치알계란찜 양배추쌈*쌈장 포기김치  ,1055.0,510.0,8,보리누룽지탕,라면사리,소불고기
2016-08-02,화,2644,460,167,268,0.0,모닝롤/씨크립샌드 우유/주스 스크램블에그 단호박죽/쌀밥  오징어국 새송이볶음 포기김치  ,열무보리비빔밥  팽이장국 꽃맛살볶음 웨지감자오븐구이 유기농식혜 알타리김치  ,쌀밥/잡곡밥  짬뽕수제비국 모둠장조림 가자미찜 머위대나물 알타리김치  ,829.0,515.0,8,새송이볶음,웨지감자오븐구이,짬뽕수제비국
2016-08-03,수,2644,485,183,0,0.0,모닝롤/치즈프레즐 우유/주스 계란후라이 누룽지탕/쌀밥  차돌박이찌개 김자반 포기김치  ,쌀밥/잡곡밥  버섯들깨탕 레몬탕수육 메추리알조림 콩나물무침 포기김치  ,주먹밥  냉모밀국수 소고기퀘사디아 단무지/락교 참외 포기김치  ,802.0,363.0,8,차돌박이찌개,버섯들깨탕,참외
2016-08-04,목,2644,467,200,262,0.0,모닝롤/참치샌드 우유/주스 구운계란 야채죽/쌀밥  느타리버섯국 크랜베리멸치볶음 포기김치  ,쌀밥/잡곡밥  복숭아미역냉국 닭데리야끼조림 비엔나감자볶음 시금치무침 포기김치  ,오므라이스  가쯔오장국 떡볶이 양장피잡채 무피클 포기김치  ,671.0,456.0,8,크랜베리멸치볶음,복숭아미역냉국,양장피잡채
2016-08-05,금,2644,538,212,46,0.0,모닝롤/크로와상 우유/주스 계란후라이 홍게살죽/쌀밥  동태찌개 아삭고추무침 포기김치  ,쌀밥/잡곡밥  된장찌개 매콤돼지갈비찜 연근/오징어튀김 무생채 열무김치  ,쌀밥/잡곡밥  쇠고기무국 쭈꾸미볶음 두부구이*양념장 청경채겉절이 포기김치  ,641.0,448.0,8,동태찌개,연근,쭈꾸미볶음
2016-08-08,월,2644,421,180,255,0.0,모닝롤/롤케익 우유/주스 계란후라이 누룽지탕/쌀밥  김치두부국 명엽채무침 포기김치  ,쌀밥/잡곡밥  호박잎된장국 유자청제육볶음  오꼬노미계란말이 도라지초무침 포기김치  ,쌀밥/잡곡밥  북어국 찜닭  탕평채 부추무침 포기김치  ,1038.0,480.0,8,롤케익,호박잎된장국,북어국
2016-08-09,화,2644,392,182,286,0.0,모닝롤/고구마샌드 우유/주스 스크램블에그 야채죽/쌀밥  올갱이아욱국 호박볶음 포기김치  ,쌀밥/잡곡밥  콩나물국 미니함박조림 오징어브로컬리숙회 오이무침 포기김치  ,작은밥  콩국수 멕시칸샐러드 찐감자/수박 오복지 열무김치  ,874.0,470.0,8,호박볶음,오징어브로컬리숙회,찐감자
2016-08-10,수,2644,411,188,0,0.0,모닝롤/베이글 우유/주스 계란후라이 누룽지탕/쌀밥  새우살미역국 고구마순나물 포기김치  ,쌀밥/잡곡밥  사과오이냉국 장어강정 우엉잡채 치커리생채 포기김치  ,쌀밥/잡곡밥  닭개장 해물청경채볶음 옥수수전 단배추나물 포기김치  ,842.0,451.0,8,새우살미역국,장어강정,단배추나물
2016-08-11,목,2644,413,202,295,0.0,모닝롤/야채샌드 우유/주스 구운계란 녹두죽/쌀밥  쇠고기샤브국  참나물땅콩무침 포기김치  ,쌀밥/잡곡밥  시래기국 삼겹살오븐구이  매운어묵볶음 상추&마늘 포기김치  ,볶음밥  스파게티/크림스프 치킨텐더  마늘바게뜨/음료 수제피클 포기김치  ,845.0,530.0,8,참나물땅콩무침,마늘,스파게티
2016-08-12,금,2644,587,215,60,0.0,모닝롤/와플 우유/주스 계란후라이 해물죽/쌀밥  감자국 가지볶음 포기김치  ,불고기덮밥  맑은국 새우까스&탈탈소스 고구마범벅 노각무침 포기김치  ,쌀밥/잡곡밥  김치찌개 삼치된장구이 모듬소세지구이 숙주나물 알타리김치  ,708.0,410.0,8,가지볶음,고구마범벅,삼치된장구이
2016-08-16,화,2644,352,177,351,0.0,모닝롤/꿀호떡 우유/주스 스크램블에그 잣죽/쌀밥  북어국 진미채무침 포기김치  ,쌀밥/잡곡밥  닭곰탕 고등어조림 비엔나피망볶음 해초무침 알타리김치  ,김밥볶음밥  미소장국 과일샐러드 비빔야채만두 찐옥수수/주스 포기김치  ,1023.0,561.0,8,북어국,비엔나피망볶음,비빔야채만두
2016-08-17,수,2644,311,191,0,0.0,모닝롤/토마토샌드 우유/주스 계란후라이 누룽지탕/쌀밥  어묵국 콩나물무침 포기김치  ,쌀밥/잡곡밥  대구매운탕 오징어볶음 고기전 청경채무침 포기김치  ,쌀밥/잡곡밥  콩비지찌개 돈육굴소스볶음 날치알계란찜 무말랭이무침 열무김치  ,924.0,465.0,8,콩나물무침,대구매운탕,무말랭이무침
2016-08-18,목,2644,274,215,364,0.0,모닝롤/브라우니 우유/주스 구운계란 흑임자죽/쌀밥  우거지해장국  미역줄기볶음 포기김치  ,쌀밥/잡곡밥  열무된장국 갈릭돈가스  마늘쫑볶음 실곤약초무침 포기김치  ,유부초밥  김치우동 왕새우튀김 단무지 포도 포기김치  ,943.0,574.0,8,우거지해장국,갈릭돈가스,왕새우튀김
2016-08-19,금,2644,345,237,59,0.0,모닝롤/옥수수샌드 우유/주스 계란후라이 쇠고기죽/쌀밥  오징어국 도라지나물 포기김치  ,단호박영양밥 도토리묵냉국 소고기숙주볶음 땅콩조림 쑥갓두부무침 포기김치  ,쌀밥/잡곡밥  된장찌개 훈제오리/무쌈/양파절임 감자카레볶음 가지나물 포기김치  ,754.0,532.0,8,도라지나물,도토리묵냉국,감자카레볶음
2016-08-22,월,2644,115,159,458,0.0,모닝롤/와플 우유/주스 스크램블에그 잣죽/쌀밥  우거지해장국 새송이버섯볶음 포기김치  ,쌀밥/잡곡밥  꽃게탕 고추잡채*꽃빵 꽁치와사비구이 오이무침 포기김치  ,쌀밥/잡곡밥  무채국 돈육볶음  볼어묵조림 양배추쌈 포기김치  ,1266.0,729.0,8,새송이버섯볶음,꽁치와사비구이,돈육볶음
2016-08-23,화,2644,86,211,386,0.0,모닝롤/참치샌드 우유/주스 계란후라이 호박죽/쌀밥  조랭이떡미역국 꽈리고추찜 포기김치  ,쌀밥/잡곡밥  배추된장국 칠리탕수육  두부조림 콩나물무침 열무김치  ,김치볶음밥  유부장국 허니버터옥수수 닭가슴살장조림  단무지무침/음료 포기김치  ,1145.0,563.0,8,조랭이떡미역국,칠리탕수육,허니버터옥수수
2016-08-24,수,2644,113,209,0,0.0,모닝롤/찐빵 우유/주스 계란후라이 누룽지탕/쌀밥  북어국 애호박볶음 포기김치  ,쌀밥/잡곡밥  해물된장찌개 닭볶음  연근조림 치커리유자청무침 포기김치  ,쌀밥/잡곡밥  감자국 등갈비김치찜  해파리냉채 잔멸치볶음 알타리김치  ,941.0,588.0,8,애호박볶음,닭볶음,잔멸치볶음
2016-08-25,목,2644,123,241,308,0.0,모닝롤/인절미샌드 우유/주스 구운계란 고구마죽/쌀밥  시금치국 김잔파무침 포기김치  ,쌀밥/잡곡밥  육개장  동태무조림 부추전 올방개묵무침 포기김치  ,콩국수 작은밥  춘권 단호박조림 마늘쫑무침 열무김치  ,885.0,508.0,8,인절미샌드,동태무조림,단호박조림
2016-08-26,금,2644,194,269,70,0.0,모닝롤/카스텔라 우유/주스 계란후라이 누룽지탕/쌀밥  민물새우찌깨 도라지나물 포기김치  ,쌀밥/잡곡밥  떡국 마늘치킨  홍어채무침 꽃맛살오리엔탈샐러드 포기김치  ,쌀밥/잡곡밥  콩나물냉국 주꾸미볶음 메밀전병만두 미역레몬초무침 포기김치  ,813.0,489.0,8,민물새우찌깨,꽃맛살오리엔탈샐러드,콩나물냉국
2016-08-29,월,2644,132,202,352,0.0,모닝롤/프렌치토스트 우유/주스 계란후라이 누룽지탕/쌀밥  느타리버섯국 김자반 포기김치  ,쌀밥/잡곡밥  순두부찌개 소불고기 골뱅이무침*소면 아삭고추무침 포기김치  ,쌀밥/잡곡밥  차돌박이찌개 닭갈비 새송이버섯전 도라지오이생채 포기김치  ,1258.0,568.0,8,느타리버섯국,소불고기,도라지오이생채
2016-08-30,화,2644,96,242,268,0.0,모닝롤/바나나샌드 우유/주스 구운계란 야채죽/쌀밥  근대국 명엽채무침 포기김치  ,쌀밥/잡곡밥  버섯매운탕 갈치구이 모듬소시지볶음 호박잎쌈*양념 포기김치  ,굴소스해물볶음밥  맑은국 수제고로케*케찹 망고드레싱샐러드 쫄면/비트무절임 포기김치  ,901.0,514.0,8,구운계란,모듬소시지볶음,비트무절임
2016-08-31,수,2644,98,236,0,0.0,모닝롤/사과파이 우유/주스 스크램블에그 크림누룽지탕/쌀밥  대구찌개 곤약어묵볶음 포기김치  ,낙지비빔밥  가쯔오장국 계란말이 과일샐러드 단무지무침 열무김치  ,쌀밥/잡곡밥  청국장찌개 깐풍육 황태양념구이 해초무침 포기김치  ,915.0,498.0,8,곤약어묵볶음,단무지무침,깐풍육
2016-09-01,목,2769,99,250,336,0.0,햄에그치즈토스트 우유/주스 구운계란 김치죽/쌀밥  콩나물국 고구마순나물 포기김치  ,쌀밥/잡곡밥  오징어국 목살데리야끼 버섯잡채 브로컬리초장 포기김치  ,참치주먹밥  로제파스타/스프 고구마치즈구이 오이피클/절인고추 요플레 포기김치  ,953.0,468.0,9,햄에그치즈토스트,목살데리야끼,절인고추
2016-09-02,금,2769,177,279,76,0.0,모닝롤/크로와상 우유/주스 계란후라이 팥죽/쌀밥  맑은만두육개장 가지나물 포기김치  ,쌀밥/잡곡밥  시래기된장국 닭찜 해물파전 청경채무침 포기김치  ,쌀밥/잡곡밥  알탕 돈육장조림 새싹두부구이 노각무침 알타리김치  ,832.0,460.0,9,맑은만두육개장,닭찜,새싹두부구이
2016-09-05,월,2769,100,225,447,0.0,모닝롤/바나나팬케익 우유/주스 구운계란 누룽지탕/쌀밥  호박젓국찌개 감자조림 포기김치  ,쌀밥/잡곡밥  쇠고기샤브국 오징어볶음 옥수수전 연두부*양념 포기김치  ,쌀밥/잡곡밥  어묵국 제육볶음 실곤약흑임자무침 호박나물 포기김치  ,1164.0,554.0,9,바나나팬케익,양념,제육볶음
2016-09-06,화,2769,59,253,477,0.0,모닝롤/에그샌드 우유/주스 스크램블에그 해물죽/쌀밥  콩나물된장국 구이김 포기김치  ,쌀밥/잡곡밥  부대찌개 가자미카레튀김 모둠버섯볶음 참나물땅콩무침 파김치  ,볶음밥/짜장소스  유부장국 멕시칸샐러드 찹쌀도너츠 단무지 포기김치  ,784.0,560.0,9,콩나물된장국,파김치,찹쌀도너츠
2016-09-07,수,2769,65,241,0,0.0,모닝롤/베이글 우유/주스 계란후라이 누룽지탕/쌀밥  쇠고기무국 진미채무침 포기김치  ,곤드레밥  두부맑은국 돈육떡강정 계란찜 오이무침 포기김치  ,쌀밥/잡곡밥  얼갈이된장국 닭오븐구이 김치녹두전 셀프무쌈말이 열무김치  ,926.0,504.0,9,쇠고기무국,두부맑은국,김치녹두전
2016-09-08,목,2769,69,255,438,0.0,모닝롤/햄치즈샌드 우유/주스 구운계란 늙은호박죽/쌀밥  김치두부국 취나물 포기김치  ,쌀밥/잡곡밥  된장찌개 오리고추장볶음 콩나물잡채 부추생채 알타리김치  ,김밥  잔치국수 새우까스*타르타르 꽃맛살샐러드 오복지 포기김치  ,758.0,548.0,9,늙은호박죽,오리고추장볶음,타르타르
2016-09-09,금,2769,137,288,86,0.0,모닝롤/단팥빵 우유/주스 계란후라이 땅콩죽/쌀밥  아욱된장국 미역줄기볶음 포기김치  ,쌀밥/잡곡밥  황태맑은국 유린기 도토리묵무침 숙주나물 포기김치  ,쌀밥/잡곡밥  쇠고기미역국 자반고등어구이 미트볼케찹조림 양념깻잎지 포기김치  ,682.0,485.0,9,아욱된장국,황태맑은국,자반고등어구이
2016-09-12,월,2769,328,176,306,0.0,모닝롤/고구마파이 우유/주스 구운계란 누룽지탕/쌀밥  꽃게탕 김자반 포기김치  ,쌀밥/잡곡밥  시래기국 닭볶음 동그랑땡 상추겉절이 깍두기  ,볶음밥  쌀국수 미니햄버거 요플레 단무지무침 포기김치  ,924.0,504.0,9,구운계란,동그랑땡,미니햄버거
2016-09-13,화,2769,511,108,52,0.0,모닝롤/토마토샌드 우유/주스 스크램블에그 새송이죽/쌀밥  감자국 멸치볶음 포기김치  ,쌀밥/잡곡밥  토란국 매운돼지갈비찜 어묵볶음 쑥갓두부무침 포기김치  ,쌀밥/잡곡밥  참치김치찌개 주꾸미볶음 모듬묵*양념장 치커리유자무침 열무김치  ,820.0,238.0,9,새송이죽,토란국,치커리유자무침
2016-09-19,월,2769,167,180,550,0.0,모닝롤/와플 우유/주스 구운계란 누룽지탕/쌀밥  북어해장국 김구이 포기김치  ,쌀밥/잡곡밥  어묵국 오리훈제고추장볶음 계란말이 애호박나물 포기김치  ,쌀밥/잡곡밥  수제비국 탕평채 탕평채 치커리사과무침 깍두기  ,1271.0,662.0,9,구운계란,오리훈제고추장볶음,탕평채
2016-09-20,화,2769,69,227,588,0.0,모닝롤/고구마샌드 우유/주스 스크램블에그 잣죽/쌀밥  쇠고기미역국 명엽채무침 포기김치  ,쌀밥/잡곡밥  얼갈이된장국 레몬탕수육 감자채볶음 참나물생채 포기김치  ,콩나물밥  맑은국 장어강정 마늘쫑볶음 포도주스 포기김치  ,1039.0,627.0,9,쇠고기미역국,레몬탕수육,포도주스
2016-09-21,수,2769,58,246,0,0.0,모닝롤/사과파이 우유/주스 계란후라이 누룽지탕/쌀밥  버섯들깨탕 김가루실파무침 포기김치  ,열무비빔밥  팽이장국 너비아니구이 땅콩조림 핫도그/음료 깍두기  ,쌀밥/잡곡밥  고추장찌개 쇠고기모둠장조림 해물파전 오이맛살초무침 포기김치  ,1068.0,603.0,9,버섯들깨탕,너비아니구이,쇠고기모둠장조림
2016-09-22,목,2769,137,253,403,0.0,모닝롤/옥수수샌드 우유/주스 구운계란 쇠고기죽/쌀밥  된장찌개 브로컬리들깨무침 포기김치  ,쌀밥/잡곡밥  쇠고기무국 임연수찜 햄피망볶음 단배추나물 포기김치  ,유부초밥  꼬지어묵우동 모듬떡볶이 맛탕 단무지 포기김치  ,891.0,533.0,9,브로컬리들깨무침,임연수찜,맛탕
2016-09-23,금,2769,165,278,99,0.0,모닝롤/카스텔라 우유/주스 계란후라이 크림누룽지탕/쌀밥  김치국 숙주나물 포기김치  ,쌀밥/잡곡밥  오징어국 소고기숙주볶음 두부조림 무생채 포기김치  ,쌀밥/잡곡밥  콩나물국 수제돈까스 통도라지구이 미역무침/콘샐러드 포기김치  ,716.0,562.0,9,김치국,두부조림,미역무침
2016-09-26,월,2769,70,224,494,0.0,모닝롤/프렌치토스트 우유/주스 계란후라이 누룽지탕/쌀밥  꽃게탕 미역줄기볶음 포기김치  ,쌀밥/잡곡밥  아욱된장국 유자청돈육볶음 우엉잡채 양배추쌈&쌈장 포기김치  ,쌀밥/잡곡밥  무채맑은국 갈치조림 두부계란부침 청경채생채 포기김치  ,1185.0,710.0,9,미역줄기볶음,유자청돈육볶음,무채맑은국
2016-09-27,화,2769,56,233,380,0.0,모닝롤/씨크립샌드 우유/주스 스크램블에그 흑임자죽/쌀밥  민물새우찌개 도라지나물 포기김치  ,쌀밥/잡곡밥  느타리버섯국 간장파닭 쫄면무침 열무된장나물 포기김치  ,쇠고기숙주규동덮밥  미소장국 탕수어 또띠아칩 무피클 배추겉절이  ,1033.0,550.0,9,도라지나물,간장파닭,쇠고기숙주규동덮밥
2016-09-28,수,2769,50,225,0,0.0,모닝롤/치즈프레즐 우유/주스 계란후라이 수삼닭죽/쌀밥  맑은만두육개장 무생채 포기김치  ,카레덮밥  맑은국 샐러드파스타 새송이버섯조림 오이무침 포기김치  ,쌀밥/잡곡밥  조갯살미역국 미니채소떡갈비 홍어채무침 유채나물 포기김치  ,1128.0,591.0,9,수삼닭죽,새송이버섯조림,조갯살미역국
2016-09-29,목,2769,153,227,331,0.0,모닝롤/에그샌드 우유/주스 구운계란 누룽지탕/쌀밥  감자국 치커리무침 포기김치  ,쌀밥/잡곡밥  된장찌개 돈육장조림 호박부추전 올방개묵무침 포기김치  ,충무김밥  잔치국수 오징어무침 군고구마 단무지 석박지  ,1044.0,622.0,9,치커리무침,호박부추전,군고구마
2016-09-30,금,2769,158,256,59,0.0,모닝롤/크로와상 우유/주스 계란후라이 단호박죽/쌀밥  콩나물국 크랜베리멸치볶음 포기김치  ,쌀밥/잡곡밥  우거지해장국 꽁치한마리구이 가지볶음 브로컬리초장 알타리김치  ,쌀밥/잡곡밥  근대된장국 돈육강정 계란찜 매운어묵볶음 포기김치  ,843.0,539.0,9,크랜베리멸치볶음,가지볶음,근대된장국
2016-10-04,화,2670,59,239,1035,0.0,모닝롤/후르츠팬케익 우유/주스 구운계란 견과류죽/쌀밥  북어채국 김자반 포기김치  ,쌀밥/잡곡밥  배추된장국 버섯불고기  골뱅이소면무침 마늘쫑건새우볶음 포기김치  ,쌀밥/잡곡밥  콩비지찌개  닭볶음  해파리냉채 상추치커리무침 포기김치  ,1262.0,902.0,10,북어채국,골뱅이소면무침,닭볶음
2016-10-05,수,2670,41,228,0,0.0,모닝롤/참치샌드 우유/주스 스크램블에그 누룽지탕/쌀밥  어묵국 감자채볶음 포기김치  ,쌀밥/잡곡밥  차돌박이찌개  매운주꾸미볶음 모둠소세지구이 콩나물무침 포기김치  ,쌀밥/잡곡밥  순두부찌개 미니함박조림  실곤약초무침 취나물 포기김치  ,1336.0,905.0,10,감자채볶음,모둠소세지구이,실곤약초무침
2016-10-06,목,2670,56,245,378,0.0,모닝롤/브라우니 우유/주스 구운계란 해물죽/쌀밥  고추장찌개 구구마순나물 포기김치  ,쌀밥/잡곡밥  미역국 한방소갈비찜  오징어숙회무침 동태/새송이전 배추겉절이  ,작은밥  짬뽕 군만두 과일샐러드 단무지 포기김치  ,1196.0,352.0,10,구구마순나물,동태,군만두
2016-10-07,금,2670,144,252,80,0.0,모닝롤/베이컨샌드 우유/주스 계란후라이 팥죽/쌀밥  연두부탕 시래기조림 포기김치  ,쌀밥/잡곡밥  대구매운탕 표고돈육탕수  메추리알곤약조림 부추생채 포기김치  ,쌀밥/잡곡밥  육개장  코다리엿장조림 옥수수전 아삭고추무침 알타리김치  ,843.0,554.0,10,베이컨샌드,표고돈육탕수,코다리엿장조림
2016-10-10,월,2670,104,216,443,0.0,모닝롤/프렌치토스트 우유/주스 구운계란 홍게살죽/쌀밥  호박젓국찌개 검정콩조림 포기김치  ,쌀밥/잡곡밥  쇠고기샤브국 오징어볶음 맛살계란말이 참나물무침 포기김치  ,쌀밥/잡곡밥  콩나물국 돈육굴소스볶음 삼치조림 상추초무침 포기김치  ,1180.0,546.0,10,검정콩조림,맛살계란말이,삼치조림
2016-10-11,화,2670,69,256,386,0.0,모닝롤/바나나샌드 우유/주스 계란후라이 양송이죽/쌀밥  오징어국 미역나물 포기김치  ,쌀밥/잡곡밥  시금치된장국 목살스테이크 버섯잡채 오이무침 배추겉절이  ,김치볶음밥  미소장국 궁중떡볶음 옥수수맛탕 무피클 포기김치  ,1014.0,522.0,10,미역나물,목살스테이크,옥수수맛탕
2016-10-12,수,2670,64,251,0,0.0,모닝롤/롤케익 우유/주스 스크램블에그 누룽지탕/쌀밥  얼큰소고기국 김구이 포기김치  ,산채비빔밥*강된장  팽이버섯국 생선커틀릿 *타르타르소스 오복지무침 오렌지주스 포기김치  ,쌀밥/잡곡밥  황태국 닭오븐구이 비엔나감자볶음 도라지초무침 포기김치  ,951.0,527.0,10,얼큰소고기국,팽이버섯국,도라지초무침
2016-10-13,목,2670,66,262,612,0.0,모닝롤/식빵피자 우유/주스 구운계란 브로컬리죽/쌀밥  김치두부국 꽈리고추찜 포기김치  ,쌀밥/잡곡밥  떡국 마늘치킨 모듬묵*양념장 열무된장나물 포기김치  ,통새우김밥  어묵우동 찹쌀순대볶음 단무지무침 요플레 포기김치  ,1051.0,667.0,10,브로컬리죽,열무된장나물,어묵우동
2016-10-14,금,2670,144,265,172,0.0,모닝롤/단팥빵 우유/주스 계란후라이 누룽지탕/쌀밥  아욱국 진미채무침 포기김치  ,쌀밥/잡곡밥  건새우무국 등갈비김치찜 계란버섯장조림 애호박나물 포기김치  ,쌀밥/잡곡밥  부대찌개 탕수어 두부새싹구이 양념깻잎지 알타리김치  ,898.0,544.0,10,아욱국,건새우무국,두부새싹구이
2016-10-17,월,2670,107,241,425,0.0,모닝롤/마늘빵 우유/주스 구운계란 흑임자죽/쌀밥  감자국 명엽채무침 포기김치  ,쌀밥/잡곡밥  미역국 소불고기 모둠양채쌈 매운어묵볶음 포기김치  ,쌀밥/잡곡밥  해물된장찌개 닭매운찜  고기전 참나물땅콩무침 포기김치  ,1196.0,527.0,10,구운계란,모둠양채쌈,닭매운찜
2016-10-18,화,2670,53,262,394,0.0,모닝롤/야채샌드 우유/주스 계란후라이 녹두죽/쌀밥  매운버섯국 시금치나물 포기김치  ,쌀밥/잡곡밥  꽃게탕 미트볼칠리조림 부추전 치커리유자청무침 포기김치  ,나가사키면&김  참치주먹밥 개성감자만두 꽃맛살샐러드 음료 포기김치  ,994.0,544.0,10,매운버섯국,미트볼칠리조림,나가사키면
2016-10-19,수,2670,72,267,0,0.0,모닝롤/베이글 우유/주스 스크램블에그 누룽지탕/쌀밥  북어해장국 감자채볶음 포기김치  ,쌀밥/잡곡밥  참치김치찌개 유린기  셀프무쌈말이 멸치크렌베리볶음 포기김치  ,쌀밥/잡곡밥  어묵국 돼지갈비찜 오징어&브로컬리숙회 콩자반 포기김치  ,933.0,475.0,10,북어해장국,멸치크렌베리볶음,콩자반
2016-10-20,목,2670,105,269,281,0.0,모닝롤/씨크립샌드 우유/주스 구운계란 늙은호박죽/쌀밥  고추장찌개 연근조림 포기김치  ,쌀밥/잡곡밥  돈신탕  꽁치김치말이 메밀버섯전 쑥갓두부무침 알타리김치  ,옛날왕돈까스  옥수수스프 샐러드파스타 감자치즈오븐구이 오이피클 포기김치  ,787.0,564.0,10,늙은호박죽,돈신탕,감자치즈오븐구이
2016-10-21,금,2670,228,280,62,0.0,모닝롤/프레즐 우유/주스 계란후라이 누룽지탕/쌀밥  쇠고기무국 콩나물무침 포기김치  ,짜장밥  계란국 사천식탕수육 풍기샐러드 단무지 포기김치  ,쌀밥/잡곡밥  닭개장  해물청경채볶음 두부양념조림 파래김*장 포기김치  ,760.0,442.0,10,프레즐,풍기샐러드,파래김
2016-10-24,월,2670,120,223,367,0.0,모닝롤/찐빵 우유/주스 삶은계란 누룽지탕/쌀밥  어묵국 고구마순나물 포기김치  ,쌀밥/잡곡밥  된장찌개 제육볶음 해물파전 콩나물무침 포기김치  ,쌀밥/잡곡밥  북어계란국 닭강정 해파리냉채 유채나물 포기김치  ,1171.0,600.0,10,고구마순나물,해물파전,북어계란국
2016-10-25,화,2670,73,259,345,0.0,모닝롤/햄치즈샌드 우유/주스 계란후라이 견과류죽/쌀밥  근대국 오이무침 포기김치  ,쌀밥/잡곡밥  육개장 갈치구이 고추잡채*꽃빵 미역레몬초무침 깍두기  ,오므라이스  가쯔오장국 훈제오리냉채 메추리알조림 고구마맛탕/오렌지 포기김치  ,1028.0,559.0,10,오이무침,미역레몬초무침,고구마맛탕
2016-10-26,수,2670,89,258,0,0.0,모닝롤/단호박샌드 우유/주스 삶은계란 누룽지탕/쌀밥  연두부찌개 마늘쫑맛살볶음 포기김치  ,곤드레밥  배추된장국 데리야끼파닭 실곤약초무침 땅콩조림 포기김치  ,쌀밥/잡곡밥  쇠고기샤브국 가자미찜 진미채무침 취나물 포기김치  ,854.0,410.0,10,마늘쫑맛살볶음,데리야끼파닭,진미채무침
2016-10-27,목,2670,94,272,240,0.0,모닝롤/고구마파이 우유/주스 스크램블에그 호박죽/쌀밥  모시조개시금치국 가지나물 포기김치  ,쌀밥/잡곡밥  동태찌개 돈육장조림 두부계란전 해초무침 포기김치  ,쌀밥/잡곡밥  바지락수제비 유산슬 멕시칸샐러드 핫도그&케찹 배추겉절이  ,807.0,454.0,10,모시조개시금치국,두부계란전,바지락수제비
2016-10-28,금,2670,192,277,63,0.0,모닝롤/인절미토스트 우유/주스 계란후라이 야채죽/쌀밥  콩나물국 쥐포무침 포기김치  ,쌀밥/잡곡밥  버섯들깨탕 고등어조림 비엔나감자볶음 통도라지구이 알타리김치  ,쌀밥/잡곡밥  오징어국 떡갈비조림 마파두부 비트무생채 포기김치  ,731.0,475.0,10,인절미토스트,고등어조림,떡갈비조림
2016-10-31,월,2670,134,223,255,0.0,모닝롤/후르츠팬케익 우유/주스 스크램블에그 누룽지탕/쌀밥  들깨미역국 호박볶음 포기김치  ,쌀밥/잡곡밥  근대된장국 쇠고기숙주볶음 새송이버섯전 홍어채무침 포기김치  ,쌀밥/잡곡밥  부대찌개 삼치구이 돈육잡채 참나물 포기김치  ,1224.0,540.0,10,호박볶음,근대된장국,참나물
2016-11-01,화,2689,70,212,515,0.0,모닝롤/에그샌드 우유/주스 계란후라이 쇠고기죽/쌀밥  아욱된장국 콩조림 포기김치  ,쌀밥/잡곡밥  알탕 닭갈비 생선까스*탈탈소스 시금치나물 포기김치  ,짜장덮밥  해물짬뽕 군만두 과일샐러드 단무지 포기김치  ,1087.0,578.0,11,콩조림,탈탈소스,해물짬뽕
2016-11-02,수,2689,73,231,0,0.0,모닝롤/크로와상 우유/주스 스크램블에그 누룽지탕/쌀밥  대구찌개 김자반 포기김치  ,콩나물밥  가쯔오장국 훈제오리/무쌈 양파절임 부추겉절이 포기김치  ,쌀밥/잡곡밥  청국장찌개 동파삼겹수육 마늘쫑볶음 얼갈이겉절이 알타리김치  ,1006.0,540.0,11,대구찌개,훈제오리,얼갈이겉절이
2016-11-03,목,2689,72,283,408,0.0,모닝롤/토마토샌드 우유/주스 삶은계란 양송이죽/쌀밥  시래기국 두부조림 포기김치  ,쌀밥/잡곡밥  쇠고기무국 쭈꾸미볶음 계란말이 세발나물 포기김치  ,참치회덮밥  미소장국 새우또띠아/음료 콘샐러드 락교 포기김치  ,864.0,553.0,11,두부조림,쭈꾸미볶음,새우또띠아
2016-11-04,금,2689,168,276,81,0.0,모닝롤/브라우니 우유/주스 계란후라이 닭죽/쌀밥  김치두부국 브로컬리들깨무침 포기김치  ,쌀밥/잡곡밥  사골우거지탕 명태엿장조림 모듬소세지구이 오이무침 석박지  ,쌀밥/잡곡밥  순두부찌개 돈육굴소스볶음 황태양념구이 숙주나물 포기김치  ,803.0,497.0,11,브로컬리들깨무침,모듬소세지구이,숙주나물
